Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27392;158;;424314-7;PRIMER PUMP;20;PC;XK2B43;20160503;20160912;0,68;13,6
PO;100;27392;159;;424429-0;BUMPER;10;PC;V3B3C2;20160503;20160912;0,21;2,1
PO;100;27392;160;;450692-9;FRONT COVER;5;PC;E7P6E1;20160503;20160912;0,93;4,65
PO;100;27392;161;;451516-2;CONECTING ROD;40;PC;Y3F2B2;20160503;20160912;1,17;46,8
PO;100;27392;162;;452147-0;PROTECTOR;10;PC;E8E4C1;20160503;20160912;1,54;15,4
PO;100;27392;163;;456217-7;BALL NUT COVER A;5;PC;T4G3F2;20160503;20160912;0;0
PO;100;27392;164;;512883-1;ARMATURE ASS'Y 220V;50;PC;O/G4B;20160503;20160912;14,13;706,5
PO;100;27392;165;;513339-7;ARMATURE ASS'Y 230-240V;20;PC;O/K6A;20160503;20160912;16,17;323,4
PO;100;27392;166;;513388-4;ARMATURE ASS'Y 220V;20;PC;O/R7B;20160503;20160912;18,32;366,4
PO;100;27392;167;;513684-0;Armature ass'y  240V;5;PC;O/T4A;20160503;20160912;10,39;51,95
PO;100;27392;168;;513748-0;ARMATURE ASS'Y;50;PC;O/H2A;20160503;20160912;14,71;735,5
PO;100;27392;169;;514823-5;ARMATURE ASS'Y 220V;5;PC;O/R6A;20160503;20160912;25,24;126,2
PO;100;27392;170;;516288-7;ARMATURE ASS'Y 220V;5;PC;O/H6C;20160503;20160912;15,71;78,55
